SPECTRUM - MS
FTMS + p EI Full ms [40.0000-500.0000]
Scan #: 9042
RT: 13.2624916051041
Scan Number,m/z,Intensity,Relative,Segment Number,Flags
9042 - 9387,84.0429663393204,24576858.3785255,100,1,
9042 - 9387,85.0463111413194,578215.190046774,2.35268145806626,1,
9042 - 9387,85.0400118618573,391079.945217465,1.5912527923389,1,
9042 - 9387,43.0290242855996,314271.522052766,1.27872943405723,1,
9042 - 9387,69.03202686345,311150.067537115,1.26602864672479,1,
9042 - 9387,42.021198128594,262753.660647078,1.06911004083689,1,
9042 - 9387,40.0181212624491,127868.480088843,0.520280005358906,1,
9042 - 9387,53.0133524494218,79518.0893483213,0.323548633123108,1,
9042 - 9387,85.0510003805617,61139.5643258498,0.248768835235962,1,
9042 - 9387,41.0133703315942,59384.4456113053,0.24162748833347,1,
9042 - 9387,84.0378967804777,43212.1369530176,0.175824494276188,1,
9042 - 9387,56.0242258391247,37277.3447435131,0.151676606380598,1,
9042 - 9387,57.0320436581698,28682.5463215669,0.11670550352615,1,
9042 - 9387,54.0086394441978,28400.2804913827,0.115557001037195,1,
9042 - 9387,82.0273712658227,12428.7869699413,0.0505710973246327,1,
9042 - 9387,91.0534096636598,11158.371458718,0.0454019439216359,1,
9042 - 9387,52.005545910551,11146.0860338017,0.045351956145627,1,
9042 - 9387,84.2241411879239,10094.515232005,0.0410732530437059,1,
9042 - 9387,59.0490446568203,9383.01407903508,0.0381782485561037,1,
9042 - 9387,67.0164314002555,8902.53008367729,0.036223222458148,1,
9042 - 9387,66.0086804587004,8549.08868656563,0.0347851159611009,1,
9042 - 9387,83.8623654991968,8413.46905642309,0.0342332975469904,1,
9042 - 9387,77.0378664828215,7808.76843329589,0.0317728503498191,1,
9042 - 9387,70.0355909143538,7479.24749391828,0.0304320730449967,1,
9042 - 9387,86.0431913730876,6446.36678600723,0.0262294174736339,1,
9042 - 9387,69.0695875128725,6079.27296657219,0.0247357610681602,1,
9042 - 9387,103.055116066851,5843.92498391816,0.0237781611217827,1,
9042 - 9387,117.070633027945,5458.32920561064,0.0222092226823423,1,
9042 - 9387,54.0211995675196,5388.65023906422,0.0219257081440997,1,
9042 - 9387,115.053111994225,5052.64000749825,0.0205585267639947,1,
9042 - 9387,78.0457642507661,4877.88770046109,0.0198474826413259,1,
9042 - 9387,104.062807054188,4823.17941425637,0.0196248818297733,1,
9042 - 9387,67.0538135568682,4750.09657708103,0.0193275173902272,1,
9042 - 9387,91.054796232422,4606.44510758023,0.0187430184795515,1,
9042 - 9387,115.054702364967,4018.78303095873,0.0163518988841561,1,
9042 - 9387,43.9890941772883,3897.07043977464,0.0158566663800275,1,
9042 - 9387,70.0289985843289,3842.97058633751,0.0156365412012764,1,
