SPECTRUM - MS
FTMS + p EI Full ms [40.0000-500.0000]
Scan #: 8748
RT: 12.9278576225655
Scan Number,m/z,Intensity,Relative,Segment Number,Flags
8748 - 8774,96.0681342019662,271870042.554195,100,1,
8748 - 8774,55.0416070468979,107417997.4213,39.510788467945,1,
8748 - 8774,81.044725907834,58451936.9779898,21.4999550626612,1,
8748 - 8774,95.0603876459292,42575897.2770803,15.660385703803,1,
8748 - 8774,109.075973619576,29032612.932458,10.6788569493347,1,
8748 - 8774,68.0494396590643,26255610.2807933,9.65741206133788,1,
8748 - 8774,83.0603478360749,25969321.2852659,9.55210844169749,1,
8748 - 8774,82.0525484840538,23392370.4620776,8.60424717718373,1,
8748 - 8774,54.0337910300303,18790774.7081404,6.91167534738388,1,
8748 - 8774,97.0714696639251,14464675.6112425,5.32043746907461,1,
8748 - 8774,56.0494335262865,14433989.1571385,5.30915029163657,1,
8748 - 8774,42.0337983766132,12319905.627108,4.53154217042951,1,
8748 - 8774,80.0494693216457,6553095.30956327,2.41037785847882,1,
8748 - 8774,121.075998532586,5747251.89274688,2.1139702773987,1,
8748 - 8774,123.09166153877,5693602.21617093,2.09423670319835,1,
8748 - 8774,69.0447081734895,5147300.51646498,1.89329448294727,1,
8748 - 8774,41.0385427723474,4566450.76372346,1.67964470113075,1,
8748 - 8774,52.0181403883395,4466406.81110398,1.64284625446132,1,
8748 - 8774,107.060359194788,4421113.51658953,1.62618634809983,1,
8748 - 8774,56.0449848608919,3735623.70320627,1.3740475662969,1,
8748 - 8774,93.0447095445555,3539010.8375518,1.30172887174442,1,
8748 - 8774,67.0416356335768,3356873.40702076,1.2347345722549,1,
8748 - 8774,94.0525053965093,2552316.30537262,0.938800127220282,1,
8748 - 8774,54.0463820824655,2494137.90807703,0.917400786289222,1,
8748 - 8774,82.0481966719313,2374186.86634299,0.873280058382937,1,
8748 - 8774,81.0571511520412,2251823.5400619,0.828272037222715,1,
8748 - 8774,82.0650657955439,2108613.42537916,0.775596092003708,1,
8748 - 8774,97.0655890793833,1980626.97887925,0.728519759025832,1,
8748 - 8774,41.0259666327622,1880013.17599811,0.691511708438177,1,
8748 - 8774,110.083789522509,1856234.02452173,0.682765194385733,1,
8748 - 8774,68.0369040307972,1765513.95238901,0.649396283533911,1,
8748 - 8774,110.079264443324,1759917.89681944,0.647337926711292,1,
8748 - 8774,124.086955643729,1531663.87976686,0.563380895289902,1,
8748 - 8774,53.0259620529518,1524808.49004032,0.560859326652867,1,
8748 - 8774,108.06808126522,1508906.29635181,0.555010137261085,1,
8748 - 8774,140.118296679615,1476365.66988641,0.543040952955348,1,
8748 - 8774,119.060335039293,1401119.40466753,0.515363661072819,1,
8748 - 8774,66.0338077543721,1140338.15581885,0.41944237221044,1,
8748 - 8774,84.0637924106052,1116961.04950314,0.410843739534297,1,
8748 - 8774,110.07136094975,1103351.12164933,0.405837697777749,1,
8748 - 8774,69.0527655107807,1085701.41530952,0.399345733391384,1,
8748 - 8774,139.110447357884,1063174.34501509,0.391059763343788,1,
8748 - 8774,43.0416089904129,1045263.46983472,0.384471735103494,1,
8748 - 8774,122.071365979242,1008899.68881836,0.371096307390043,1,
